row_number,store_code,id,price,availability
715,1,6047,10,in_stock
716,1,3997,30,in_stock
717,1,50168,160,in_stock
718,1,3999,40,in_stock
719,1,835,5,in_stock
720,1,186,35,in_stock
721,1,764,5,in_stock
722,1,757,5,in_stock
723,1,624,5,in_stock
724,1,8184,5,in_stock
725,1,4,70,out_of_stock
726,1,778,5,in_stock
727,1,813,10,out_of_stock
728,1,39872,30,in_stock
729,1,42997,15,in_stock
730,1,9103,190,in_stock
731,1,564,60,out_of_stock
732,1,4087,40,out_of_stock
733,1,9728,10,out_of_stock
734,1,44363,20,in_stock
735,1,44366,25,in_stock
736,1,44958,25,in_stock
737,1,382,15,in_stock
738,1,56678,125,in_stock
739,1,50886,105,in_stock
740,1,7279,35,out_of_stock
741,1,292,25,in_stock
742,1,1161,170,in_stock
743,1,7588,100,in_stock
744,1,140,35,in_stock
745,1,1129,20,in_stock
746,1,9104,15,out_of_stock
747,1,580,20,in_stock
748,1,51078,85,in_stock
749,1,9861,20,in_stock
750,1,131,20,in_stock
751,1,172,15,in_stock
752,1,939,30,in_stock
753,1,108,60,out_of_stock
754,1,8244,20,out_of_stock
755,1,9610,20,out_of_stock
756,1,51944,45,in_stock
757,1,59652,50,in_stock
758,1,9333,25,out_of_stock
759,1,53211,5,in_stock
760,1,8104,5,in_stock
761,1,4959,85,in_stock
762,1,10003,70,in_stock
763,1,1154,40,in_stock
764,1,9443,65,out_of_stock
765,1,43173,25,out_of_stock
766,1,54991,15,in_stock
767,1,11985,10,in_stock
768,1,4667,15,in_stock
769,1,5521,25,in_stock
770,1,4434,15,in_stock
771,1,8932,220,in_stock
772,1,44154,65,in_stock
773,1,2410,40,in_stock
774,1,6256,100,in_stock
775,1,1321,65,in_stock
776,1,6047,10,in_stock
777,1,3997,30,in_stock
778,1,50168,160,in_stock
779,1,3999,40,in_stock
780,1,835,5,in_stock
781,1,186,35,in_stock
782,1,764,5,in_stock
783,1,757,5,in_stock
784,1,624,5,in_stock
785,1,8184,5,in_stock
786,1,4,70,out_of_stock
787,1,778,5,in_stock
788,1,813,10,out_of_stock
789,1,39872,30,in_stock
790,1,42997,15,in_stock
791,1,9103,190,in_stock
792,1,564,60,out_of_stock
793,1,4087,40,out_of_stock
794,1,9728,10,out_of_stock
795,1,44363,20,in_stock
796,1,44366,25,in_stock
797,1,44958,25,in_stock
798,1,382,15,in_stock
799,1,56678,125,in_stock
800,1,50886,105,in_stock
801,1,7279,35,out_of_stock
802,1,292,25,in_stock
803,1,1161,170,in_stock
804,1,7588,100,in_stock
805,1,140,35,in_stock
806,1,1129,20,in_stock
807,1,9104,15,out_of_stock
808,1,580,20,in_stock
809,1,51078,85,in_stock
810,1,9861,20,in_stock
811,1,131,20,in_stock
812,1,172,15,in_stock
813,1,939,30,in_stock
814,1,108,60,out_of_stock
815,1,8244,20,out_of_stock
816,1,9610,20,out_of_stock
817,1,51944,45,in_stock
818,1,59652,50,in_stock
819,1,9333,25,out_of_stock
820,1,53211,5,in_stock
821,1,8104,5,in_stock
822,1,4959,85,in_stock
823,1,10003,70,in_stock
824,1,1154,40,in_stock
825,1,9443,65,out_of_stock
826,1,43173,25,out_of_stock
827,1,54991,15,in_stock
828,1,11985,10,in_stock
829,1,4667,15,in_stock
830,1,5521,25,in_stock
831,1,4434,15,in_stock
832,1,8932,220,in_stock
833,1,44154,65,in_stock
834,1,2410,40,in_stock
835,1,6256,100,in_stock
836,1,1321,65,in_stock
837,1,6047,10,in_stock
838,1,3997,30,in_stock
839,1,50168,160,in_stock
840,1,3999,40,in_stock
841,1,835,5,in_stock
842,1,186,35,in_stock
843,1,764,5,in_stock
844,1,757,5,in_stock
845,1,624,5,in_stock
846,1,8184,5,in_stock
847,1,4,70,out_of_stock
848,1,778,5,in_stock
849,1,813,10,out_of_stock
850,1,39872,30,in_stock
851,1,42997,15,in_stock
852,1,9103,190,in_stock
853,1,564,60,out_of_stock
854,1,4087,40,out_of_stock
855,1,9728,10,out_of_stock
856,1,44363,20,in_stock
857,1,44366,25,in_stock
858,1,44958,25,in_stock
859,1,382,15,in_stock
860,1,56678,125,in_stock
861,1,50886,105,in_stock
862,1,7279,35,out_of_stock
863,1,292,25,in_stock
864,1,1161,170,in_stock
865,1,7588,100,in_stock
866,1,140,35,in_stock
867,1,1129,20,in_stock
868,1,9104,15,out_of_stock
869,1,580,20,in_stock
870,1,51078,85,in_stock
871,1,9861,20,in_stock
872,1,131,20,in_stock
873,1,172,15,in_stock
874,1,939,30,in_stock
875,1,108,60,out_of_stock
876,1,8244,20,out_of_stock
877,1,9610,20,out_of_stock
878,1,51944,45,in_stock
879,1,59652,50,in_stock
880,1,9333,25,out_of_stock
881,1,53211,5,in_stock
882,1,8104,5,in_stock
883,1,4959,85,in_stock
884,1,10003,70,in_stock
885,1,1154,40,in_stock
